Comunidades y Ciudades Autónomas	Naturaleza de la finca	Número e importe	Periodo	Total
01 Andalucía	Total fincas	Importe de hipotecas	2005	47.593.826
01 Andalucía	Total fincas	Importe de hipotecas	2004	36.615.280
01 Andalucía	Total fincas	Importe de hipotecas	2003	23.724.761
01 Andalucía	Total fincas rústicas	Número de hipotecas	2025	2.663
01 Andalucía	Total fincas rústicas	Número de hipotecas	2024	2.300
01 Andalucía	Total fincas rústicas	Número de hipotecas	2023	2.446
01 Andalucía	Total fincas rústicas	Número de hipotecas	2022	3.048
01 Andalucía	Total fincas rústicas	Número de hipotecas	2021	3.546
01 Andalucía	Total fincas rústicas	Número de hipotecas	2020	3.245
01 Andalucía	Total fincas rústicas	Número de hipotecas	2019	3.881
01 Andalucía	Total fincas rústicas	Número de hipotecas	2018	4.408
01 Andalucía	Total fincas rústicas	Número de hipotecas	2017	4.700
01 Andalucía	Total fincas rústicas	Número de hipotecas	2016	4.681
01 Andalucía	Total fincas rústicas	Número de hipotecas	2015	4.845
01 Andalucía	Total fincas rústicas	Número de hipotecas	2014	4.810
01 Andalucía	Total fincas rústicas	Número de hipotecas	2013	5.059
01 Andalucía	Total fincas rústicas	Número de hipotecas	2012	6.542
01 Andalucía	Total fincas rústicas	Número de hipotecas	2011	8.085
01 Andalucía	Total fincas rústicas	Número de hipotecas	2010	11.118
01 Andalucía	Total fincas rústicas	Número de hipotecas	2009	14.789
01 Andalucía	Total fincas rústicas	Número de hipotecas	2008	10.764
01 Andalucía	Total fincas rústicas	Número de hipotecas	2007	12.735
01 Andalucía	Total fincas rústicas	Número de hipotecas	2006	15.234
01 Andalucía	Total fincas rústicas	Número de hipotecas	2005	15.762
01 Andalucía	Total fincas rústicas	Número de hipotecas	2004	14.601
01 Andalucía	Total fincas rústicas	Número de hipotecas	2003	12.325
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2025	592.926
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2024	564.142
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2023	462.763
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2022	630.521
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2021	653.006
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2020	599.050
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2019	833.082
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2018	734.916
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2017	822.517
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2016	926.898
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2015	864.520
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2014	729.397
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2013	946.471
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2012	1.186.350
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2011	1.259.148
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2010	2.014.094
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2009	3.146.441
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2008	3.546.063
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2007	3.878.511
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2006	4.464.973
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2005	4.006.725
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2004	3.068.337
01 Andalucía	Total fincas rústicas	Importe de hipotecas	2003	1.967.212
01 Andalucía	Viviendas	Número de hipotecas	2025	98.052
01 Andalucía	Viviendas	Número de hipotecas	2024	82.365
01 Andalucía	Viviendas	Número de hipotecas	2023	76.906
01 Andalucía	Viviendas	Número de hipotecas	2022	91.155
01 Andalucía	Viviendas	Número de hipotecas	2021	83.446
01 Andalucía	Viviendas	Número de hipotecas	2020	63.712
01 Andalucía	Viviendas	Número de hipotecas	2019	68.091
01 Andalucía	Viviendas	Número de hipotecas	2018	65.958
01 Andalucía	Viviendas	Número de hipotecas	2017	60.246
01 Andalucía	Viviendas	Número de hipotecas	2016	54.048
01 Andalucía	Viviendas	Número de hipotecas	2015	46.313
01 Andalucía	Viviendas	Número de hipotecas	2014	38.177
01 Andalucía	Viviendas	Número de hipotecas	2013	38.186
01 Andalucía	Viviendas	Número de hipotecas	2012	52.324
01 Andalucía	Viviendas	Número de hipotecas	2011	78.495
01 Andalucía	Viviendas	Número de hipotecas	2010	107.032
01 Andalucía	Viviendas	Número de hipotecas	2009	116.183
01 Andalucía	Viviendas	Número de hipotecas	2008	157.125
01 Andalucía	Viviendas	Número de hipotecas	2007	254.771
01 Andalucía	Viviendas	Número de hipotecas	2006	269.178
01 Andalucía	Viviendas	Número de hipotecas	2005	241.470
01 Andalucía	Viviendas	Número de hipotecas	2004	197.480
01 Andalucía	Viviendas	Número de hipotecas	2003	176.726
01 Andalucía	Viviendas	Importe de hipotecas	2025	14.488.191
01 Andalucía	Viviendas	Importe de hipotecas	2024	10.932.681
01 Andalucía	Viviendas	Importe de hipotecas	2023	9.666.855
01 Andalucía	Viviendas	Importe de hipotecas	2022	11.354.452
01 Andalucía	Viviendas	Importe de hipotecas	2021	9.794.238
01 Andalucía	Viviendas	Importe de hipotecas	2020	7.442.863
01 Andalucía	Viviendas	Importe de hipotecas	2019	7.421.499
01 Andalucía	Viviendas	Importe de hipotecas	2018	6.914.073
01 Andalucía	Viviendas	Importe de hipotecas	2017	5.949.612
