Municipio;Tipo de dato;Periodo;Total
03014 Alacant/Alicante;Variación anual;2023;3,4
03014 Alacant/Alicante;Variación anual;2022;3,4
03014 Alacant/Alicante;Variación anual;2021;2,1
03014 Alacant/Alicante;Variación anual;2020;1
03014 Alacant/Alicante;Variación anual;2019;3,7
03014 Alacant/Alicante;Variación anual;2018;2,4
03014 Alacant/Alicante;Variación anual;2017;1,7
03014 Alacant/Alicante;Variación anual;2016;1,9
03014 Alacant/Alicante;Variación anual;2015;0,6
03014 Alacant/Alicante;Variación anual;2014;-0,1
03014 Alacant/Alicante;Variación anual;2013;-2,8
03014 Alacant/Alicante;Variación anual;2012;-1,9
03014 Alacant/Alicante;Variación anual;2011;..
03015 Almoradí;Índice;2023;118,192
03015 Almoradí;Índice;2022;115,164
03015 Almoradí;Índice;2021;112,229
03015 Almoradí;Índice;2020;110,645
03015 Almoradí;Índice;2019;108,613
03015 Almoradí;Índice;2018;105,662
03015 Almoradí;Índice;2017;102,471
03015 Almoradí;Índice;2016;102,325
03015 Almoradí;Índice;2015;100
03015 Almoradí;Índice;2014;100,036
03015 Almoradí;Índice;2013;102,106
03015 Almoradí;Índice;2012;105,952
03015 Almoradí;Índice;2011;101,115
03015 Almoradí;Variación anual;2023;2,6
03015 Almoradí;Variación anual;2022;2,6
03015 Almoradí;Variación anual;2021;1,4
03015 Almoradí;Variación anual;2020;1,9
03015 Almoradí;Variación anual;2019;2,8
03015 Almoradí;Variación anual;2018;3,1
03015 Almoradí;Variación anual;2017;0,1
03015 Almoradí;Variación anual;2016;2,3
03015 Almoradí;Variación anual;2015;0
03015 Almoradí;Variación anual;2014;-2
03015 Almoradí;Variación anual;2013;-3,6
03015 Almoradí;Variación anual;2012;4,8
03015 Almoradí;Variación anual;2011;..
03018 Altea;Índice;2023;119,473
03018 Altea;Índice;2022;115,372
03018 Altea;Índice;2021;112,614
03018 Altea;Índice;2020;110,123
03018 Altea;Índice;2019;108,89
03018 Altea;Índice;2018;106,071
03018 Altea;Índice;2017;104,216
03018 Altea;Índice;2016;102,471
03018 Altea;Índice;2015;100
03018 Altea;Índice;2014;100,305
03018 Altea;Índice;2013;100,233
03018 Altea;Índice;2012;101,397
03018 Altea;Índice;2011;102,7
03018 Altea;Variación anual;2023;3,6
03018 Altea;Variación anual;2022;2,4
03018 Altea;Variación anual;2021;2,3
03018 Altea;Variación anual;2020;1,1
03018 Altea;Variación anual;2019;2,7
03018 Altea;Variación anual;2018;1,8
03018 Altea;Variación anual;2017;1,7
03018 Altea;Variación anual;2016;2,5
03018 Altea;Variación anual;2015;-0,3
03018 Altea;Variación anual;2014;0,1
