Total Nacional;Comunidades y Ciudades Autónomas;Tamaño de la vivienda;Tipo de dato;Periodo;Total
Total Nacional;09 Cataluña;<=60;Variación anual;2016;2,1
Total Nacional;09 Cataluña;<=60;Variación anual;2015;0,7
Total Nacional;09 Cataluña;<=60;Variación anual;2014;-1,3
Total Nacional;09 Cataluña;<=60;Variación anual;2013;-3,3
Total Nacional;09 Cataluña;<=60;Variación anual;2012;-2,1
Total Nacional;09 Cataluña;<=60;Variación anual;2011;..
Total Nacional;09 Cataluña;(60-75];Índice;2023;121,153
Total Nacional;09 Cataluña;(60-75];Índice;2022;118,051
Total Nacional;09 Cataluña;(60-75];Índice;2021;115,147
Total Nacional;09 Cataluña;(60-75];Índice;2020;113,602
Total Nacional;09 Cataluña;(60-75];Índice;2019;112,258
Total Nacional;09 Cataluña;(60-75];Índice;2018;107,832
Total Nacional;09 Cataluña;(60-75];Índice;2017;104,1
Total Nacional;09 Cataluña;(60-75];Índice;2016;101,715
Total Nacional;09 Cataluña;(60-75];Índice;2015;100
Total Nacional;09 Cataluña;(60-75];Índice;2014;99,573
Total Nacional;09 Cataluña;(60-75];Índice;2013;100,553
Total Nacional;09 Cataluña;(60-75];Índice;2012;103,571
Total Nacional;09 Cataluña;(60-75];Índice;2011;105,552
Total Nacional;09 Cataluña;(60-75];Variación anual;2023;2,6
Total Nacional;09 Cataluña;(60-75];Variación anual;2022;2,5
Total Nacional;09 Cataluña;(60-75];Variación anual;2021;1,4
Total Nacional;09 Cataluña;(60-75];Variación anual;2020;1,2
Total Nacional;09 Cataluña;(60-75];Variación anual;2019;4,1
Total Nacional;09 Cataluña;(60-75];Variación anual;2018;3,6
Total Nacional;09 Cataluña;(60-75];Variación anual;2017;2,3
Total Nacional;09 Cataluña;(60-75];Variación anual;2016;1,7
Total Nacional;09 Cataluña;(60-75];Variación anual;2015;0,4
Total Nacional;09 Cataluña;(60-75];Variación anual;2014;-1
Total Nacional;09 Cataluña;(60-75];Variación anual;2013;-2,9
Total Nacional;09 Cataluña;(60-75];Variación anual;2012;-1,9
Total Nacional;09 Cataluña;(60-75];Variación anual;2011;..
Total Nacional;09 Cataluña;(75-90];Índice;2023;119,722
Total Nacional;09 Cataluña;(75-90];Índice;2022;116,759
Total Nacional;09 Cataluña;(75-90];Índice;2021;113,817
Total Nacional;09 Cataluña;(75-90];Índice;2020;112,338
Total Nacional;09 Cataluña;(75-90];Índice;2019;111,064
Total Nacional;09 Cataluña;(75-90];Índice;2018;107,024
Total Nacional;09 Cataluña;(75-90];Índice;2017;103,617
Total Nacional;09 Cataluña;(75-90];Índice;2016;101,541
Total Nacional;09 Cataluña;(75-90];Índice;2015;100
Total Nacional;09 Cataluña;(75-90];Índice;2014;99,674
Total Nacional;09 Cataluña;(75-90];Índice;2013;100,497
Total Nacional;09 Cataluña;(75-90];Índice;2012;103,437
Total Nacional;09 Cataluña;(75-90];Índice;2011;105,176
Total Nacional;09 Cataluña;(75-90];Variación anual;2023;2,5
Total Nacional;09 Cataluña;(75-90];Variación anual;2022;2,6
Total Nacional;09 Cataluña;(75-90];Variación anual;2021;1,3
Total Nacional;09 Cataluña;(75-90];Variación anual;2020;1,1
Total Nacional;09 Cataluña;(75-90];Variación anual;2019;3,8
Total Nacional;09 Cataluña;(75-90];Variación anual;2018;3,3
Total Nacional;09 Cataluña;(75-90];Variación anual;2017;2
Total Nacional;09 Cataluña;(75-90];Variación anual;2016;1,5
Total Nacional;09 Cataluña;(75-90];Variación anual;2015;0,3
Total Nacional;09 Cataluña;(75-90];Variación anual;2014;-0,8
Total Nacional;09 Cataluña;(75-90];Variación anual;2013;-2,8
Total Nacional;09 Cataluña;(75-90];Variación anual;2012;-1,7
Total Nacional;09 Cataluña;(75-90];Variación anual;2011;..
Total Nacional;09 Cataluña;(90-120];Índice;2023;118,626
Total Nacional;09 Cataluña;(90-120];Índice;2022;115,722
Total Nacional;09 Cataluña;(90-120];Índice;2021;112,828
Total Nacional;09 Cataluña;(90-120];Índice;2020;111,229
Total Nacional;09 Cataluña;(90-120];Índice;2019;110,088
Total Nacional;09 Cataluña;(90-120];Índice;2018;106,447
Total Nacional;09 Cataluña;(90-120];Índice;2017;103,435
Total Nacional;09 Cataluña;(90-120];Índice;2016;101,441
Total Nacional;09 Cataluña;(90-120];Índice;2015;100
Total Nacional;09 Cataluña;(90-120];Índice;2014;99,395
Total Nacional;09 Cataluña;(90-120];Índice;2013;99,868
Total Nacional;09 Cataluña;(90-120];Índice;2012;101,925
Total Nacional;09 Cataluña;(90-120];Índice;2011;103,669
Total Nacional;09 Cataluña;(90-120];Variación anual;2023;2,5
Total Nacional;09 Cataluña;(90-120];Variación anual;2022;2,6
Total Nacional;09 Cataluña;(90-120];Variación anual;2021;1,4
Total Nacional;09 Cataluña;(90-120];Variación anual;2020;1
Total Nacional;09 Cataluña;(90-120];Variación anual;2019;3,4
Total Nacional;09 Cataluña;(90-120];Variación anual;2018;2,9
Total Nacional;09 Cataluña;(90-120];Variación anual;2017;2
Total Nacional;09 Cataluña;(90-120];Variación anual;2016;1,4
Total Nacional;09 Cataluña;(90-120];Variación anual;2015;0,6
Total Nacional;09 Cataluña;(90-120];Variación anual;2014;-0,5
Total Nacional;09 Cataluña;(90-120];Variación anual;2013;-2
Total Nacional;09 Cataluña;(90-120];Variación anual;2012;-1,7
Total Nacional;09 Cataluña;(90-120];Variación anual;2011;..
Total Nacional;09 Cataluña;(120-150];Índice;2023;116,28
Total Nacional;09 Cataluña;(120-150];Índice;2022;113,583
Total Nacional;09 Cataluña;(120-150];Índice;2021;110,77
Total Nacional;09 Cataluña;(120-150];Índice;2020;109,224
Total Nacional;09 Cataluña;(120-150];Índice;2019;108,425
Total Nacional;09 Cataluña;(120-150];Índice;2018;105,86
Total Nacional;09 Cataluña;(120-150];Índice;2017;103,119
Total Nacional;09 Cataluña;(120-150];Índice;2016;101,415
Total Nacional;09 Cataluña;(120-150];Índice;2015;100
Total Nacional;09 Cataluña;(120-150];Índice;2014;99,576
Total Nacional;09 Cataluña;(120-150];Índice;2013;99,444
Total Nacional;09 Cataluña;(120-150];Índice;2012;101,405
Total Nacional;09 Cataluña;(120-150];Índice;2011;102,675
Total Nacional;09 Cataluña;(120-150];Variación anual;2023;2,4
Total Nacional;09 Cataluña;(120-150];Variación anual;2022;2,5
Total Nacional;09 Cataluña;(120-150];Variación anual;2021;1,4
Total Nacional;09 Cataluña;(120-150];Variación anual;2020;0,7
Total Nacional;09 Cataluña;(120-150];Variación anual;2019;2,4
Total Nacional;09 Cataluña;(120-150];Variación anual;2018;2,7
Total Nacional;09 Cataluña;(120-150];Variación anual;2017;1,7
Total Nacional;09 Cataluña;(120-150];Variación anual;2016;1,4
Total Nacional;09 Cataluña;(120-150];Variación anual;2015;0,4
Total Nacional;09 Cataluña;(120-150];Variación anual;2014;0,1
Total Nacional;09 Cataluña;(120-150];Variación anual;2013;-1,9
Total Nacional;09 Cataluña;(120-150];Variación anual;2012;-1,2
Total Nacional;09 Cataluña;(120-150];Variación anual;2011;..
Total Nacional;09 Cataluña;>150;Índice;2023;113,426
Total Nacional;09 Cataluña;>150;Índice;2022;110,708
Total Nacional;09 Cataluña;>150;Índice;2021;107,626
Total Nacional;09 Cataluña;>150;Índice;2020;105,758
Total Nacional;09 Cataluña;>150;Índice;2019;105,276
Total Nacional;09 Cataluña;>150;Índice;2018;105,574
Total Nacional;09 Cataluña;>150;Índice;2017;103,706
Total Nacional;09 Cataluña;>150;Índice;2016;102,152
Total Nacional;09 Cataluña;>150;Índice;2015;100
Total Nacional;09 Cataluña;>150;Índice;2014;98,958
Total Nacional;09 Cataluña;>150;Índice;2013;98,577
Total Nacional;09 Cataluña;>150;Índice;2012;99,588
Total Nacional;09 Cataluña;>150;Índice;2011;100,48
Total Nacional;09 Cataluña;>150;Variación anual;2023;2,5
Total Nacional;09 Cataluña;>150;Variación anual;2022;2,9
Total Nacional;09 Cataluña;>150;Variación anual;2021;1,8
Total Nacional;09 Cataluña;>150;Variación anual;2020;0,5
Total Nacional;09 Cataluña;>150;Variación anual;2019;-0,3
Total Nacional;09 Cataluña;>150;Variación anual;2018;1,8
Total Nacional;09 Cataluña;>150;Variación anual;2017;1,5
Total Nacional;09 Cataluña;>150;Variación anual;2016;2,2
Total Nacional;09 Cataluña;>150;Variación anual;2015;1,1
Total Nacional;09 Cataluña;>150;Variación anual;2014;0,4
Total Nacional;09 Cataluña;>150;Variación anual;2013;-1
Total Nacional;09 Cataluña;>150;Variación anual;2012;-0,9
Total Nacional;09 Cataluña;>150;Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;Total;Índice;2023;123,021
Total Nacional;10 Comunitat Valenciana;Total;Índice;2022;118,716
Total Nacional;10 Comunitat Valenciana;Total;Índice;2021;114,679
Total Nacional;10 Comunitat Valenciana;Total;Índice;2020;111,732
Total Nacional;10 Comunitat Valenciana;Total;Índice;2019;110,086
Total Nacional;10 Comunitat Valenciana;Total;Índice;2018;105,974
Total Nacional;10 Comunitat Valenciana;Total;Índice;2017;103,417
Total Nacional;10 Comunitat Valenciana;Total;Índice;2016;101,675
Total Nacional;10 Comunitat Valenciana;Total;Índice;2015;100
Total Nacional;10 Comunitat Valenciana;Total;Índice;2014;99,841
Total Nacional;10 Comunitat Valenciana;Total;Índice;2013;100,927
Total Nacional;10 Comunitat Valenciana;Total;Índice;2012;103,898
Total Nacional;10 Comunitat Valenciana;Total;Índice;2011;106,151
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2023;3,6
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2022;3,5
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2021;2,6
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2020;1,5
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2019;3,9
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2018;2,5
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2017;1,7
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2016;1,7
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2015;0,2
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2014;-1,1
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2013;-2,9
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2012;-2,1
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2023;125,543
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2022;120,941
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2021;116,633
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2020;113,625
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2019;111,869
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2018;106,877
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2017;103,986
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2016;101,871
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2015;100
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2014;99,662
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2013;100,431
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2012;103,494
Total Nacional;10 Comunitat Valenciana;<=60;Índice;2011;105,907
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2023;3,8
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2022;3,7
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2021;2,6
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2020;1,6
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2019;4,7
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2018;2,8
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2017;2,1
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2016;1,9
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2015;0,3
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2014;-0,8
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2013;-3
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2012;-2,3
Total Nacional;10 Comunitat Valenciana;<=60;Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2023;125,522
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2022;120,833
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2021;116,536
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2020;113,537
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2019;111,449
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2018;106,664
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2017;103,814
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2016;102,017
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2015;100
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2014;99,757
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2013;101,008
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2012;104,516
Total Nacional;10 Comunitat Valenciana;(60-75];Índice;2011;106,692
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2023;3,9
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2022;3,7
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2021;2,6
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2020;1,9
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2019;4,5
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2018;2,7
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2017;1,8
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2016;2
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2015;0,2
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2014;-1,2
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2013;-3,4
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2012;-2
Total Nacional;10 Comunitat Valenciana;(60-75];Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2023;123,819
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2022;119,262
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2021;115,231
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2020;112,33
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2019;110,502
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2018;106,146
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2017;103,526
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2016;101,749
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2015;100
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2014;100,167
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2013;101,212
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2012;104,311
Total Nacional;10 Comunitat Valenciana;(75-90];Índice;2011;106,832
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2023;3,8
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2022;3,5
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2021;2,6
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2020;1,7
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2019;4,1
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2018;2,5
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2017;1,7
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2016;1,7
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2015;-0,2
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2014;-1
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2013;-3
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2012;-2,4
Total Nacional;10 Comunitat Valenciana;(75-90];Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2023;122,408
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2022;118,237
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2021;114,284
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2020;111,322
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2019;109,792
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2018;105,78
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2017;103,354
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2016;101,619
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2015;100
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2014;99,908
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2013;101,267
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2012;104,316
Total Nacional;10 Comunitat Valenciana;(90-120];Índice;2011;106,836
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2023;3,5
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2022;3,5
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2021;2,7
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2020;1,4
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2019;3,8
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2018;2,3
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2017;1,7
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2016;1,6
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2015;0,1
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2014;-1,3
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2013;-2,9
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2012;-2,4
Total Nacional;10 Comunitat Valenciana;(90-120];Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2023;120,897
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2022;116,948
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2021;113,129
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2020;110,247
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2019;108,903
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2018;105,5
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2017;103,122
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2016;101,565
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2015;100
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2014;99,883
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2013;100,685
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2012;103,357
Total Nacional;10 Comunitat Valenciana;(120-150];Índice;2011;104,798
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2023;3,4
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2022;3,4
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2021;2,6
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2020;1,2
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2019;3,2
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2018;2,3
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2017;1,5
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2016;1,6
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2015;0,1
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2014;-0,8
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2013;-2,6
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2012;-1,4
Total Nacional;10 Comunitat Valenciana;(120-150];Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;>150;Índice;2023;118,136
Total Nacional;10 Comunitat Valenciana;>150;Índice;2022;114,696
Total Nacional;10 Comunitat Valenciana;>150;Índice;2021;110,855
Total Nacional;10 Comunitat Valenciana;>150;Índice;2020;107,961
Total Nacional;10 Comunitat Valenciana;>150;Índice;2019;106,867
Total Nacional;10 Comunitat Valenciana;>150;Índice;2018;104,491
Total Nacional;10 Comunitat Valenciana;>150;Índice;2017;102,241
Total Nacional;10 Comunitat Valenciana;>150;Índice;2016;100,918
Total Nacional;10 Comunitat Valenciana;>150;Índice;2015;100
Total Nacional;10 Comunitat Valenciana;>150;Índice;2014;98,936
Total Nacional;10 Comunitat Valenciana;>150;Índice;2013;99,248
Total Nacional;10 Comunitat Valenciana;>150;Índice;2012;100,444
Total Nacional;10 Comunitat Valenciana;>150;Índice;2011;101,695
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2023;3
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2022;3,5
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2021;2,7
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2020;1
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2019;2,3
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2018;2,2
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2017;1,3
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2016;0,9
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2015;1,1
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2014;-0,3
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2013;-1,2
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2012;-1,2
Total Nacional;10 Comunitat Valenciana;>150;Variación anual;2011;..
Total Nacional;11 Extremadura;Total;Índice;2023;114,087
Total Nacional;11 Extremadura;Total;Índice;2022;111,716
Total Nacional;11 Extremadura;Total;Índice;2021;109,235
Total Nacional;11 Extremadura;Total;Índice;2020;107,38
Total Nacional;11 Extremadura;Total;Índice;2019;106,391
Total Nacional;11 Extremadura;Total;Índice;2018;103,902
Total Nacional;11 Extremadura;Total;Índice;2017;102,577
Total Nacional;11 Extremadura;Total;Índice;2016;101,526
Total Nacional;11 Extremadura;Total;Índice;2015;100
Total Nacional;11 Extremadura;Total;Índice;2014;100,449
Total Nacional;11 Extremadura;Total;Índice;2013;101,223
Total Nacional;11 Extremadura;Total;Índice;2012;103,298
Total Nacional;11 Extremadura;Total;Índice;2011;104,267
Total Nacional;11 Extremadura;Total;Variación anual;2023;2,1
Total Nacional;11 Extremadura;Total;Variación anual;2022;2,3
Total Nacional;11 Extremadura;Total;Variación anual;2021;1,7
Total Nacional;11 Extremadura;Total;Variación anual;2020;0,9
Total Nacional;11 Extremadura;Total;Variación anual;2019;2,4
Total Nacional;11 Extremadura;Total;Variación anual;2018;1,3
Total Nacional;11 Extremadura;Total;Variación anual;2017;1
Total Nacional;11 Extremadura;Total;Variación anual;2016;1,5
Total Nacional;11 Extremadura;Total;Variación anual;2015;-0,4
Total Nacional;11 Extremadura;Total;Variación anual;2014;-0,8
Total Nacional;11 Extremadura;Total;Variación anual;2013;-2
Total Nacional;11 Extremadura;Total;Variación anual;2012;-0,9
Total Nacional;11 Extremadura;Total;Variación anual;2011;..
Total Nacional;11 Extremadura;<=60;Índice;2023;119,022
Total Nacional;11 Extremadura;<=60;Índice;2022;115,867
Total Nacional;11 Extremadura;<=60;Índice;2021;112,665
Total Nacional;11 Extremadura;<=60;Índice;2020;110,679
Total Nacional;11 Extremadura;<=60;Índice;2019;109,344
Total Nacional;11 Extremadura;<=60;Índice;2018;106,282
Total Nacional;11 Extremadura;<=60;Índice;2017;104,141
Total Nacional;11 Extremadura;<=60;Índice;2016;102,595
Total Nacional;11 Extremadura;<=60;Índice;2015;100
Total Nacional;11 Extremadura;<=60;Índice;2014;100,37
Total Nacional;11 Extremadura;<=60;Índice;2013;102,165
Total Nacional;11 Extremadura;<=60;Índice;2012;105,248
Total Nacional;11 Extremadura;<=60;Índice;2011;106,45
Total Nacional;11 Extremadura;<=60;Variación anual;2023;2,7
Total Nacional;11 Extremadura;<=60;Variación anual;2022;2,8
Total Nacional;11 Extremadura;<=60;Variación anual;2021;1,8
Total Nacional;11 Extremadura;<=60;Variación anual;2020;1,2
Total Nacional;11 Extremadura;<=60;Variación anual;2019;2,9
Total Nacional;11 Extremadura;<=60;Variación anual;2018;2,1
Total Nacional;11 Extremadura;<=60;Variación anual;2017;1,5
Total Nacional;11 Extremadura;<=60;Variación anual;2016;2,6
Total Nacional;11 Extremadura;<=60;Variación anual;2015;-0,4
Total Nacional;11 Extremadura;<=60;Variación anual;2014;-1,8
Total Nacional;11 Extremadura;<=60;Variación anual;2013;-2,9
Total Nacional;11 Extremadura;<=60;Variación anual;2012;-1,1
Total Nacional;11 Extremadura;<=60;Variación anual;2011;..
Total Nacional;11 Extremadura;(60-75];Índice;2023;116,17
Total Nacional;11 Extremadura;(60-75];Índice;2022;113,415
Total Nacional;11 Extremadura;(60-75];Índice;2021;110,8
Total Nacional;11 Extremadura;(60-75];Índice;2020;108,7
Total Nacional;11 Extremadura;(60-75];Índice;2019;107,548
Total Nacional;11 Extremadura;(60-75];Índice;2018;104,55
Total Nacional;11 Extremadura;(60-75];Índice;2017;102,868
Total Nacional;11 Extremadura;(60-75];Índice;2016;101,801
Total Nacional;11 Extremadura;(60-75];Índice;2015;100
Total Nacional;11 Extremadura;(60-75];Índice;2014;100,309
Total Nacional;11 Extremadura;(60-75];Índice;2013;101,08
Total Nacional;11 Extremadura;(60-75];Índice;2012;103,725
Total Nacional;11 Extremadura;(60-75];Índice;2011;106,004
Total Nacional;11 Extremadura;(60-75];Variación anual;2023;2,4
Total Nacional;11 Extremadura;(60-75];Variación anual;2022;2,4
Total Nacional;11 Extremadura;(60-75];Variación anual;2021;1,9
Total Nacional;11 Extremadura;(60-75];Variación anual;2020;1,1
Total Nacional;11 Extremadura;(60-75];Variación anual;2019;2,9
Total Nacional;11 Extremadura;(60-75];Variación anual;2018;1,6
Total Nacional;11 Extremadura;(60-75];Variación anual;2017;1
Total Nacional;11 Extremadura;(60-75];Variación anual;2016;1,8
Total Nacional;11 Extremadura;(60-75];Variación anual;2015;-0,3
Total Nacional;11 Extremadura;(60-75];Variación anual;2014;-0,8
Total Nacional;11 Extremadura;(60-75];Variación anual;2013;-2,6
Total Nacional;11 Extremadura;(60-75];Variación anual;2012;-2,1
Total Nacional;11 Extremadura;(60-75];Variación anual;2011;..
Total Nacional;11 Extremadura;(75-90];Índice;2023;115,747
Total Nacional;11 Extremadura;(75-90];Índice;2022;112,93
Total Nacional;11 Extremadura;(75-90];Índice;2021;110,332
Total Nacional;11 Extremadura;(75-90];Índice;2020;108,479
Total Nacional;11 Extremadura;(75-90];Índice;2019;107,49
Total Nacional;11 Extremadura;(75-90];Índice;2018;104,62
Total Nacional;11 Extremadura;(75-90];Índice;2017;103,379
Total Nacional;11 Extremadura;(75-90];Índice;2016;102,089
Total Nacional;11 Extremadura;(75-90];Índice;2015;100
Total Nacional;11 Extremadura;(75-90];Índice;2014;101,248
Total Nacional;11 Extremadura;(75-90];Índice;2013;101,529
Total Nacional;11 Extremadura;(75-90];Índice;2012;103,728
Total Nacional;11 Extremadura;(75-90];Índice;2011;104,9
Total Nacional;11 Extremadura;(75-90];Variación anual;2023;2,5
Total Nacional;11 Extremadura;(75-90];Variación anual;2022;2,4
Total Nacional;11 Extremadura;(75-90];Variación anual;2021;1,7
Total Nacional;11 Extremadura;(75-90];Variación anual;2020;0,9
Total Nacional;11 Extremadura;(75-90];Variación anual;2019;2,7
Total Nacional;11 Extremadura;(75-90];Variación anual;2018;1,2
Total Nacional;11 Extremadura;(75-90];Variación anual;2017;1,3
Total Nacional;11 Extremadura;(75-90];Variación anual;2016;2,1
