Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;Galicia;Pontevedra;2 personas;2027;108.812
Total Nacional;Galicia;Pontevedra;2 personas;2026;107.290
Total Nacional;Galicia;Pontevedra;2 personas;2025;105.747
Total Nacional;Galicia;Pontevedra;2 personas;2024;104.208
Total Nacional;Galicia;Pontevedra;3 personas;2039;75.183
Total Nacional;Galicia;Pontevedra;3 personas;2038;75.636
Total Nacional;Galicia;Pontevedra;3 personas;2037;76.081
Total Nacional;Galicia;Pontevedra;3 personas;2036;76.528
Total Nacional;Galicia;Pontevedra;3 personas;2035;76.957
Total Nacional;Galicia;Pontevedra;3 personas;2034;77.357
Total Nacional;Galicia;Pontevedra;3 personas;2033;77.728
Total Nacional;Galicia;Pontevedra;3 personas;2032;78.072
Total Nacional;Galicia;Pontevedra;3 personas;2031;78.364
Total Nacional;Galicia;Pontevedra;3 personas;2030;78.614
Total Nacional;Galicia;Pontevedra;3 personas;2029;78.816
Total Nacional;Galicia;Pontevedra;3 personas;2028;78.961
Total Nacional;Galicia;Pontevedra;3 personas;2027;79.029
Total Nacional;Galicia;Pontevedra;3 personas;2026;79.045
Total Nacional;Galicia;Pontevedra;3 personas;2025;79.024
Total Nacional;Galicia;Pontevedra;3 personas;2024;78.973
Total Nacional;Galicia;Pontevedra;4 personas o más;2039;70.697
Total Nacional;Galicia;Pontevedra;4 personas o más;2038;71.782
Total Nacional;Galicia;Pontevedra;4 personas o más;2037;72.945
Total Nacional;Galicia;Pontevedra;4 personas o más;2036;74.130
Total Nacional;Galicia;Pontevedra;4 personas o más;2035;75.322
Total Nacional;Galicia;Pontevedra;4 personas o más;2034;76.516
Total Nacional;Galicia;Pontevedra;4 personas o más;2033;77.673
Total Nacional;Galicia;Pontevedra;4 personas o más;2032;78.855
Total Nacional;Galicia;Pontevedra;4 personas o más;2031;79.999
Total Nacional;Galicia;Pontevedra;4 personas o más;2030;81.113
Total Nacional;Galicia;Pontevedra;4 personas o más;2029;82.198
Total Nacional;Galicia;Pontevedra;4 personas o más;2028;83.232
Total Nacional;Galicia;Pontevedra;4 personas o más;2027;84.167
Total Nacional;Galicia;Pontevedra;4 personas o más;2026;85.010
Total Nacional;Galicia;Pontevedra;4 personas o más;2025;85.800
Total Nacional;Galicia;Pontevedra;4 personas o más;2024;86.553
Total Nacional;Galicia;Pontevedra;Tamaño medio;2039;2,26
Total Nacional;Galicia;Pontevedra;Tamaño medio;2038;2,27
Total Nacional;Galicia;Pontevedra;Tamaño medio;2037;2,29
Total Nacional;Galicia;Pontevedra;Tamaño medio;2036;2,3
Total Nacional;Galicia;Pontevedra;Tamaño medio;2035;2,32
Total Nacional;Galicia;Pontevedra;Tamaño medio;2034;2,34
Total Nacional;Galicia;Pontevedra;Tamaño medio;2033;2,35
Total Nacional;Galicia;Pontevedra;Tamaño medio;2032;2,37
Total Nacional;Galicia;Pontevedra;Tamaño medio;2031;2,39
Total Nacional;Galicia;Pontevedra;Tamaño medio;2030;2,4
Total Nacional;Galicia;Pontevedra;Tamaño medio;2029;2,42
Total Nacional;Galicia;Pontevedra;Tamaño medio;2028;2,44
Total Nacional;Galicia;Pontevedra;Tamaño medio;2027;2,46
Total Nacional;Galicia;Pontevedra;Tamaño medio;2026;2,47
Total Nacional;Galicia;Pontevedra;Tamaño medio;2025;2,49
Total Nacional;Galicia;Pontevedra;Tamaño medio;2024;2,51
Total Nacional;Galicia;Coruña, A;Total;2039;525.664
Total Nacional;Galicia;Coruña, A;Total;2038;523.211
Total Nacional;Galicia;Coruña, A;Total;2037;520.601
Total Nacional;Galicia;Coruña, A;Total;2036;517.809
Total Nacional;Galicia;Coruña, A;Total;2035;514.931
Total Nacional;Galicia;Coruña, A;Total;2034;512.018
Total Nacional;Galicia;Coruña, A;Total;2033;508.958
Total Nacional;Galicia;Coruña, A;Total;2032;505.606
Total Nacional;Galicia;Coruña, A;Total;2031;502.051
Total Nacional;Galicia;Coruña, A;Total;2030;498.206
Total Nacional;Galicia;Coruña, A;Total;2029;493.975
Total Nacional;Galicia;Coruña, A;Total;2028;489.332
Total Nacional;Galicia;Coruña, A;Total;2027;484.493
Total Nacional;Galicia;Coruña, A;Total;2026;479.304
Total Nacional;Galicia;Coruña, A;Total;2025;473.872
Total Nacional;Galicia;Coruña, A;Total;2024;468.278
Total Nacional;Galicia;Coruña, A;1 persona;2039;197.167
Total Nacional;Galicia;Coruña, A;1 persona;2038;194.211
Total Nacional;Galicia;Coruña, A;1 persona;2037;191.109
Total Nacional;Galicia;Coruña, A;1 persona;2036;187.857
Total Nacional;Galicia;Coruña, A;1 persona;2035;184.558
Total Nacional;Galicia;Coruña, A;1 persona;2034;181.256
Total Nacional;Galicia;Coruña, A;1 persona;2033;177.857
Total Nacional;Galicia;Coruña, A;1 persona;2032;174.277
Total Nacional;Galicia;Coruña, A;1 persona;2031;170.635
Total Nacional;Galicia;Coruña, A;1 persona;2030;166.858
Total Nacional;Galicia;Coruña, A;1 persona;2029;162.872
Total Nacional;Galicia;Coruña, A;1 persona;2028;158.698
Total Nacional;Galicia;Coruña, A;1 persona;2027;154.598
Total Nacional;Galicia;Coruña, A;1 persona;2026;150.324
Total Nacional;Galicia;Coruña, A;1 persona;2025;145.973
Total Nacional;Galicia;Coruña, A;1 persona;2024;141.591
Total Nacional;Galicia;Coruña, A;2 personas;2039;168.059
Total Nacional;Galicia;Coruña, A;2 personas;2038;166.437
Total Nacional;Galicia;Coruña, A;2 personas;2037;164.732
Total Nacional;Galicia;Coruña, A;2 personas;2036;162.914
Total Nacional;Galicia;Coruña, A;2 personas;2035;161.049
Total Nacional;Galicia;Coruña, A;2 personas;2034;159.207
Total Nacional;Galicia;Coruña, A;2 personas;2033;157.360
Total Nacional;Galicia;Coruña, A;2 personas;2032;155.406
Total Nacional;Galicia;Coruña, A;2 personas;2031;153.398
Total Nacional;Galicia;Coruña, A;2 personas;2030;151.340
Total Nacional;Galicia;Coruña, A;2 personas;2029;149.204
Total Nacional;Galicia;Coruña, A;2 personas;2028;146.970
Total Nacional;Galicia;Coruña, A;2 personas;2027;144.683
Total Nacional;Galicia;Coruña, A;2 personas;2026;142.376
Total Nacional;Galicia;Coruña, A;2 personas;2025;140.019
Total Nacional;Galicia;Coruña, A;2 personas;2024;137.612
Total Nacional;Galicia;Coruña, A;3 personas;2039;84.662
Total Nacional;Galicia;Coruña, A;3 personas;2038;85.580
Total Nacional;Galicia;Coruña, A;3 personas;2037;86.502
Total Nacional;Galicia;Coruña, A;3 personas;2036;87.437
Total Nacional;Galicia;Coruña, A;3 personas;2035;88.362
Total Nacional;Galicia;Coruña, A;3 personas;2034;89.255
Total Nacional;Galicia;Coruña, A;3 personas;2033;90.116
Total Nacional;Galicia;Coruña, A;3 personas;2032;90.947
Total Nacional;Galicia;Coruña, A;3 personas;2031;91.724
Total Nacional;Galicia;Coruña, A;3 personas;2030;92.439
Total Nacional;Galicia;Coruña, A;3 personas;2029;93.098
Total Nacional;Galicia;Coruña, A;3 personas;2028;93.683
Total Nacional;Galicia;Coruña, A;3 personas;2027;94.177
Total Nacional;Galicia;Coruña, A;3 personas;2026;94.604
Total Nacional;Galicia;Coruña, A;3 personas;2025;94.973
Total Nacional;Galicia;Coruña, A;3 personas;2024;95.301
Total Nacional;Galicia;Coruña, A;4 personas o más;2039;75.776
Total Nacional;Galicia;Coruña, A;4 personas o más;2038;76.983
Total Nacional;Galicia;Coruña, A;4 personas o más;2037;78.258
Total Nacional;Galicia;Coruña, A;4 personas o más;2036;79.601
Total Nacional;Galicia;Coruña, A;4 personas o más;2035;80.962
Total Nacional;Galicia;Coruña, A;4 personas o más;2034;82.300
Total Nacional;Galicia;Coruña, A;4 personas o más;2033;83.625
Total Nacional;Galicia;Coruña, A;4 personas o más;2032;84.976
Total Nacional;Galicia;Coruña, A;4 personas o más;2031;86.294
Total Nacional;Galicia;Coruña, A;4 personas o más;2030;87.569
Total Nacional;Galicia;Coruña, A;4 personas o más;2029;88.801
Total Nacional;Galicia;Coruña, A;4 personas o más;2028;89.981
Total Nacional;Galicia;Coruña, A;4 personas o más;2027;91.035
Total Nacional;Galicia;Coruña, A;4 personas o más;2026;92.000
Total Nacional;Galicia;Coruña, A;4 personas o más;2025;92.907
Total Nacional;Galicia;Coruña, A;4 personas o más;2024;93.774
Total Nacional;Galicia;Coruña, A;Tamaño medio;2039;2,14
Total Nacional;Galicia;Coruña, A;Tamaño medio;2038;2,15
Total Nacional;Galicia;Coruña, A;Tamaño medio;2037;2,17
Total Nacional;Galicia;Coruña, A;Tamaño medio;2036;2,18
Total Nacional;Galicia;Coruña, A;Tamaño medio;2035;2,2
Total Nacional;Galicia;Coruña, A;Tamaño medio;2034;2,22
Total Nacional;Galicia;Coruña, A;Tamaño medio;2033;2,23
Total Nacional;Galicia;Coruña, A;Tamaño medio;2032;2,25
Total Nacional;Galicia;Coruña, A;Tamaño medio;2031;2,27
Total Nacional;Galicia;Coruña, A;Tamaño medio;2030;2,28
Total Nacional;Galicia;Coruña, A;Tamaño medio;2029;2,3
Total Nacional;Galicia;Coruña, A;Tamaño medio;2028;2,32
Total Nacional;Galicia;Coruña, A;Tamaño medio;2027;2,34
Total Nacional;Galicia;Coruña, A;Tamaño medio;2026;2,36
Total Nacional;Galicia;Coruña, A;Tamaño medio;2025;2,37
Total Nacional;Galicia;Coruña, A;Tamaño medio;2024;2,39
Total Nacional;Galicia;Lugo;Total;2039;150.546
Total Nacional;Galicia;Lugo;Total;2038;150.136
Total Nacional;Galicia;Lugo;Total;2037;149.694
Total Nacional;Galicia;Lugo;Total;2036;149.230
Total Nacional;Galicia;Lugo;Total;2035;148.749
Total Nacional;Galicia;Lugo;Total;2034;148.239
Total Nacional;Galicia;Lugo;Total;2033;147.725
Total Nacional;Galicia;Lugo;Total;2032;147.156
Total Nacional;Galicia;Lugo;Total;2031;146.545
Total Nacional;Galicia;Lugo;Total;2030;145.876
Total Nacional;Galicia;Lugo;Total;2029;145.107
Total Nacional;Galicia;Lugo;Total;2028;144.263
Total Nacional;Galicia;Lugo;Total;2027;143.346
Total Nacional;Galicia;Lugo;Total;2026;142.363
Total Nacional;Galicia;Lugo;Total;2025;141.348
Total Nacional;Galicia;Lugo;Total;2024;140.307
Total Nacional;Galicia;Lugo;1 persona;2039;60.962
Total Nacional;Galicia;Lugo;1 persona;2038;60.249
Total Nacional;Galicia;Lugo;1 persona;2037;59.504
Total Nacional;Galicia;Lugo;1 persona;2036;58.733
Total Nacional;Galicia;Lugo;1 persona;2035;57.949
Total Nacional;Galicia;Lugo;1 persona;2034;57.145
Total Nacional;Galicia;Lugo;1 persona;2033;56.339
Total Nacional;Galicia;Lugo;1 persona;2032;55.497
Total Nacional;Galicia;Lugo;1 persona;2031;54.646
Total Nacional;Galicia;Lugo;1 persona;2030;53.766
Total Nacional;Galicia;Lugo;1 persona;2029;52.834
Total Nacional;Galicia;Lugo;1 persona;2028;51.873
Total Nacional;Galicia;Lugo;1 persona;2027;50.892
Total Nacional;Galicia;Lugo;1 persona;2026;49.887
Total Nacional;Galicia;Lugo;1 persona;2025;48.864
Total Nacional;Galicia;Lugo;1 persona;2024;47.835
Total Nacional;Galicia;Lugo;2 personas;2039;46.613
Total Nacional;Galicia;Lugo;2 personas;2038;46.293
Total Nacional;Galicia;Lugo;2 personas;2037;45.955
Total Nacional;Galicia;Lugo;2 personas;2036;45.607
Total Nacional;Galicia;Lugo;2 personas;2035;45.250
Total Nacional;Galicia;Lugo;2 personas;2034;44.881
Total Nacional;Galicia;Lugo;2 personas;2033;44.524
Total Nacional;Galicia;Lugo;2 personas;2032;44.150
Total Nacional;Galicia;Lugo;2 personas;2031;43.758
Total Nacional;Galicia;Lugo;2 personas;2030;43.354
Total Nacional;Galicia;Lugo;2 personas;2029;42.919
Total Nacional;Galicia;Lugo;2 personas;2028;42.467
Total Nacional;Galicia;Lugo;2 personas;2027;41.997
Total Nacional;Galicia;Lugo;2 personas;2026;41.521
Total Nacional;Galicia;Lugo;2 personas;2025;41.049
Total Nacional;Galicia;Lugo;2 personas;2024;40.559
Total Nacional;Galicia;Lugo;3 personas;2039;23.931
Total Nacional;Galicia;Lugo;3 personas;2038;24.199
Total Nacional;Galicia;Lugo;3 personas;2037;24.470
Total Nacional;Galicia;Lugo;3 personas;2036;24.745
Total Nacional;Galicia;Lugo;3 personas;2035;25.018
Total Nacional;Galicia;Lugo;3 personas;2034;25.288
Total Nacional;Galicia;Lugo;3 personas;2033;25.550
Total Nacional;Galicia;Lugo;3 personas;2032;25.805
Total Nacional;Galicia;Lugo;3 personas;2031;26.050
Total Nacional;Galicia;Lugo;3 personas;2030;26.283
Total Nacional;Galicia;Lugo;3 personas;2029;26.505
Total Nacional;Galicia;Lugo;3 personas;2028;26.711
Total Nacional;Galicia;Lugo;3 personas;2027;26.897
Total Nacional;Galicia;Lugo;3 personas;2026;27.068
Total Nacional;Galicia;Lugo;3 personas;2025;27.229
Total Nacional;Galicia;Lugo;3 personas;2024;27.385
Total Nacional;Galicia;Lugo;4 personas o más;2039;19.040
Total Nacional;Galicia;Lugo;4 personas o más;2038;19.395
Total Nacional;Galicia;Lugo;4 personas o más;2037;19.765
Total Nacional;Galicia;Lugo;4 personas o más;2036;20.145
Total Nacional;Galicia;Lugo;4 personas o más;2035;20.532
Total Nacional;Galicia;Lugo;4 personas o más;2034;20.925
Total Nacional;Galicia;Lugo;4 personas o más;2033;21.312
Total Nacional;Galicia;Lugo;4 personas o más;2032;21.704
Total Nacional;Galicia;Lugo;4 personas o más;2031;22.091
Total Nacional;Galicia;Lugo;4 personas o más;2030;22.473
Total Nacional;Galicia;Lugo;4 personas o más;2029;22.849
Total Nacional;Galicia;Lugo;4 personas o más;2028;23.212
Total Nacional;Galicia;Lugo;4 personas o más;2027;23.560
Total Nacional;Galicia;Lugo;4 personas o más;2026;23.887
Total Nacional;Galicia;Lugo;4 personas o más;2025;24.206
Total Nacional;Galicia;Lugo;4 personas o más;2024;24.528
Total Nacional;Galicia;Lugo;Tamaño medio;2039;2,08
Total Nacional;Galicia;Lugo;Tamaño medio;2038;2,09
Total Nacional;Galicia;Lugo;Tamaño medio;2037;2,1
Total Nacional;Galicia;Lugo;Tamaño medio;2036;2,11
Total Nacional;Galicia;Lugo;Tamaño medio;2035;2,13
Total Nacional;Galicia;Lugo;Tamaño medio;2034;2,14
Total Nacional;Galicia;Lugo;Tamaño medio;2033;2,16
Total Nacional;Galicia;Lugo;Tamaño medio;2032;2,17
Total Nacional;Galicia;Lugo;Tamaño medio;2031;2,18
Total Nacional;Galicia;Lugo;Tamaño medio;2030;2,2
Total Nacional;Galicia;Lugo;Tamaño medio;2029;2,21
Total Nacional;Galicia;Lugo;Tamaño medio;2028;2,23
Total Nacional;Galicia;Lugo;Tamaño medio;2027;2,24
Total Nacional;Galicia;Lugo;Tamaño medio;2026;2,26
Total Nacional;Galicia;Lugo;Tamaño medio;2025;2,28
Total Nacional;Galicia;Lugo;Tamaño medio;2024;2,29
Total Nacional;Galicia;Ourense;Total;2039;147.738
Total Nacional;Galicia;Ourense;Total;2038;147.259
Total Nacional;Galicia;Ourense;Total;2037;146.733
Total Nacional;Galicia;Ourense;Total;2036;146.179
Total Nacional;Galicia;Ourense;Total;2035;145.622
Total Nacional;Galicia;Ourense;Total;2034;145.060
Total Nacional;Galicia;Ourense;Total;2033;144.469
Total Nacional;Galicia;Ourense;Total;2032;143.836
Total Nacional;Galicia;Ourense;Total;2031;143.153
Total Nacional;Galicia;Ourense;Total;2030;142.388
Total Nacional;Galicia;Ourense;Total;2029;141.518
Total Nacional;Galicia;Ourense;Total;2028;140.535
Total Nacional;Galicia;Ourense;Total;2027;139.474
Total Nacional;Galicia;Ourense;Total;2026;138.345
Total Nacional;Galicia;Ourense;Total;2025;137.167
Total Nacional;Galicia;Ourense;Total;2024;135.964
Total Nacional;Galicia;Ourense;1 persona;2039;62.065
Total Nacional;Galicia;Ourense;1 persona;2038;61.393
Total Nacional;Galicia;Ourense;1 persona;2037;60.662
Total Nacional;Galicia;Ourense;1 persona;2036;59.898
Total Nacional;Galicia;Ourense;1 persona;2035;59.133
Total Nacional;Galicia;Ourense;1 persona;2034;58.359
Total Nacional;Galicia;Ourense;1 persona;2033;57.559
Total Nacional;Galicia;Ourense;1 persona;2032;56.728
Total Nacional;Galicia;Ourense;1 persona;2031;55.876
Total Nacional;Galicia;Ourense;1 persona;2030;54.984
Total Nacional;Galicia;Ourense;1 persona;2029;54.030
Total Nacional;Galicia;Ourense;1 persona;2028;53.028
Total Nacional;Galicia;Ourense;1 persona;2027;52.015
Total Nacional;Galicia;Ourense;1 persona;2026;50.973
Total Nacional;Galicia;Ourense;1 persona;2025;49.901
Total Nacional;Galicia;Ourense;1 persona;2024;48.822
Total Nacional;Galicia;Ourense;2 personas;2039;46.738
Total Nacional;Galicia;Ourense;2 personas;2038;46.439
Total Nacional;Galicia;Ourense;2 personas;2037;46.117
Total Nacional;Galicia;Ourense;2 personas;2036;45.778
Total Nacional;Galicia;Ourense;2 personas;2035;45.438
Total Nacional;Galicia;Ourense;2 personas;2034;45.102
Total Nacional;Galicia;Ourense;2 personas;2033;44.768
Total Nacional;Galicia;Ourense;2 personas;2032;44.431
Total Nacional;Galicia;Ourense;2 personas;2031;44.076
Total Nacional;Galicia;Ourense;2 personas;2030;43.701
Total Nacional;Galicia;Ourense;2 personas;2029;43.302
Total Nacional;Galicia;Ourense;2 personas;2028;42.860
Total Nacional;Galicia;Ourense;2 personas;2027;42.401
Total Nacional;Galicia;Ourense;2 personas;2026;41.943
Total Nacional;Galicia;Ourense;2 personas;2025;41.493
Total Nacional;Galicia;Ourense;2 personas;2024;41.031
Total Nacional;Galicia;Ourense;3 personas;2039;22.418
Total Nacional;Galicia;Ourense;3 personas;2038;22.651
Total Nacional;Galicia;Ourense;3 personas;2037;22.895
Total Nacional;Galicia;Ourense;3 personas;2036;23.145
Total Nacional;Galicia;Ourense;3 personas;2035;23.389
Total Nacional;Galicia;Ourense;3 personas;2034;23.633
Total Nacional;Galicia;Ourense;3 personas;2033;23.871
Total Nacional;Galicia;Ourense;3 personas;2032;24.102
Total Nacional;Galicia;Ourense;3 personas;2031;24.323
Total Nacional;Galicia;Ourense;3 personas;2030;24.529
Total Nacional;Galicia;Ourense;3 personas;2029;24.723
Total Nacional;Galicia;Ourense;3 personas;2028;24.900
Total Nacional;Galicia;Ourense;3 personas;2027;25.051
Total Nacional;Galicia;Ourense;3 personas;2026;25.182
Total Nacional;Galicia;Ourense;3 personas;2025;25.304
Total Nacional;Galicia;Ourense;3 personas;2024;25.417
Total Nacional;Galicia;Ourense;4 personas o más;2039;16.517
Total Nacional;Galicia;Ourense;4 personas o más;2038;16.776
Total Nacional;Galicia;Ourense;4 personas o más;2037;17.059
Total Nacional;Galicia;Ourense;4 personas o más;2036;17.358
Total Nacional;Galicia;Ourense;4 personas o más;2035;17.662
Total Nacional;Galicia;Ourense;4 personas o más;2034;17.966
Total Nacional;Galicia;Ourense;4 personas o más;2033;18.271
Total Nacional;Galicia;Ourense;4 personas o más;2032;18.575
Total Nacional;Galicia;Ourense;4 personas o más;2031;18.878
Total Nacional;Galicia;Ourense;4 personas o más;2030;19.174
Total Nacional;Galicia;Ourense;4 personas o más;2029;19.463
Total Nacional;Galicia;Ourense;4 personas o más;2028;19.747
Total Nacional;Galicia;Ourense;4 personas o más;2027;20.007
Total Nacional;Galicia;Ourense;4 personas o más;2026;20.247
Total Nacional;Galicia;Ourense;4 personas o más;2025;20.469
Total Nacional;Galicia;Ourense;4 personas o más;2024;20.694
Total Nacional;Galicia;Ourense;Tamaño medio;2039;2,03
Total Nacional;Galicia;Ourense;Tamaño medio;2038;2,04
Total Nacional;Galicia;Ourense;Tamaño medio;2037;2,05
Total Nacional;Galicia;Ourense;Tamaño medio;2036;2,06
Total Nacional;Galicia;Ourense;Tamaño medio;2035;2,07
Total Nacional;Galicia;Ourense;Tamaño medio;2034;2,08
Total Nacional;Galicia;Ourense;Tamaño medio;2033;2,09
Total Nacional;Galicia;Ourense;Tamaño medio;2032;2,11
Total Nacional;Galicia;Ourense;Tamaño medio;2031;2,12
Total Nacional;Galicia;Ourense;Tamaño medio;2030;2,13
Total Nacional;Galicia;Ourense;Tamaño medio;2029;2,14
Total Nacional;Galicia;Ourense;Tamaño medio;2028;2,16
Total Nacional;Galicia;Ourense;Tamaño medio;2027;2,17
Total Nacional;Galicia;Ourense;Tamaño medio;2026;2,18
Total Nacional;Galicia;Ourense;Tamaño medio;2025;2,19
Total Nacional;Galicia;Ourense;Tamaño medio;2024;2,21
Total Nacional;Madrid, Comunidad de;;Total;2039;3.251.492
Total Nacional;Madrid, Comunidad de;;Total;2038;3.226.560
Total Nacional;Madrid, Comunidad de;;Total;2037;3.200.602
Total Nacional;Madrid, Comunidad de;;Total;2036;3.173.614
Total Nacional;Madrid, Comunidad de;;Total;2035;3.145.785
Total Nacional;Madrid, Comunidad de;;Total;2034;3.117.003
Total Nacional;Madrid, Comunidad de;;Total;2033;3.087.088
Total Nacional;Madrid, Comunidad de;;Total;2032;3.054.945
Total Nacional;Madrid, Comunidad de;;Total;2031;3.020.367
Total Nacional;Madrid, Comunidad de;;Total;2030;2.982.795
Total Nacional;Madrid, Comunidad de;;Total;2029;2.941.005
Total Nacional;Madrid, Comunidad de;;Total;2028;2.894.371
Total Nacional;Madrid, Comunidad de;;Total;2027;2.844.026
Total Nacional;Madrid, Comunidad de;;Total;2026;2.790.196
Total Nacional;Madrid, Comunidad de;;Total;2025;2.733.192
Total Nacional;Madrid, Comunidad de;;Total;2024;2.675.520
Total Nacional;Madrid, Comunidad de;;1 persona;2039;989.524
Total Nacional;Madrid, Comunidad de;;1 persona;2038;972.961
Total Nacional;Madrid, Comunidad de;;1 persona;2037;955.780
Total Nacional;Madrid, Comunidad de;;1 persona;2036;938.233
Total Nacional;Madrid, Comunidad de;;1 persona;2035;920.449
Total Nacional;Madrid, Comunidad de;;1 persona;2034;902.505
Total Nacional;Madrid, Comunidad de;;1 persona;2033;884.381
Total Nacional;Madrid, Comunidad de;;1 persona;2032;865.592
Total Nacional;Madrid, Comunidad de;;1 persona;2031;846.418
Total Nacional;Madrid, Comunidad de;;1 persona;2030;826.701
Total Nacional;Madrid, Comunidad de;;1 persona;2029;805.724
Total Nacional;Madrid, Comunidad de;;1 persona;2028;783.324
Total Nacional;Madrid, Comunidad de;;1 persona;2027;760.950
Total Nacional;Madrid, Comunidad de;;1 persona;2026;738.467
Total Nacional;Madrid, Comunidad de;;1 persona;2025;715.216
Total Nacional;Madrid, Comunidad de;;1 persona;2024;691.954
Total Nacional;Madrid, Comunidad de;;2 personas;2039;1.013.926
Total Nacional;Madrid, Comunidad de;;2 personas;2038;1.001.821
Total Nacional;Madrid, Comunidad de;;2 personas;2037;989.033
Total Nacional;Madrid, Comunidad de;;2 personas;2036;975.376
Total Nacional;Madrid, Comunidad de;;2 personas;2035;961.272
Total Nacional;Madrid, Comunidad de;;2 personas;2034;946.790
Total Nacional;Madrid, Comunidad de;;2 personas;2033;932.139
Total Nacional;Madrid, Comunidad de;;2 personas;2032;916.733
Total Nacional;Madrid, Comunidad de;;2 personas;2031;900.583
Total Nacional;Madrid, Comunidad de;;2 personas;2030;883.711
Total Nacional;Madrid, Comunidad de;;2 personas;2029;865.788
Total Nacional;Madrid, Comunidad de;;2 personas;2028;846.591
Total Nacional;Madrid, Comunidad de;;2 personas;2027;826.492
Total Nacional;Madrid, Comunidad de;;2 personas;2026;805.776
Total Nacional;Madrid, Comunidad de;;2 personas;2025;784.418
Total Nacional;Madrid, Comunidad de;;2 personas;2024;762.864
Total Nacional;Madrid, Comunidad de;;3 personas;2039;563.640
Total Nacional;Madrid, Comunidad de;;3 personas;2038;565.588
Total Nacional;Madrid, Comunidad de;;3 personas;2037;567.448
Total Nacional;Madrid, Comunidad de;;3 personas;2036;569.163
Total Nacional;Madrid, Comunidad de;;3 personas;2035;570.661
Total Nacional;Madrid, Comunidad de;;3 personas;2034;571.863
Total Nacional;Madrid, Comunidad de;;3 personas;2033;572.685
Total Nacional;Madrid, Comunidad de;;3 personas;2032;572.983
Total Nacional;Madrid, Comunidad de;;3 personas;2031;572.591
Total Nacional;Madrid, Comunidad de;;3 personas;2030;571.366
Total Nacional;Madrid, Comunidad de;;3 personas;2029;569.211
Total Nacional;Madrid, Comunidad de;;3 personas;2028;566.009
Total Nacional;Madrid, Comunidad de;;3 personas;2027;561.572
Total Nacional;Madrid, Comunidad de;;3 personas;2026;555.951
Total Nacional;Madrid, Comunidad de;;3 personas;2025;549.534
Total Nacional;Madrid, Comunidad de;;3 personas;2024;542.769
Total Nacional;Madrid, Comunidad de;;4 personas o más;2039;684.402
Total Nacional;Madrid, Comunidad de;;4 personas o más;2038;686.190
Total Nacional;Madrid, Comunidad de;;4 personas o más;2037;688.341
Total Nacional;Madrid, Comunidad de;;4 personas o más;2036;690.842
Total Nacional;Madrid, Comunidad de;;4 personas o más;2035;693.403
Total Nacional;Madrid, Comunidad de;;4 personas o más;2034;695.845
Total Nacional;Madrid, Comunidad de;;4 personas o más;2033;697.883
Total Nacional;Madrid, Comunidad de;;4 personas o más;2032;699.637
Total Nacional;Madrid, Comunidad de;;4 personas o más;2031;700.775
Total Nacional;Madrid, Comunidad de;;4 personas o más;2030;701.017
Total Nacional;Madrid, Comunidad de;;4 personas o más;2029;700.282
Total Nacional;Madrid, Comunidad de;;4 personas o más;2028;698.447
Total Nacional;Madrid, Comunidad de;;4 personas o más;2027;695.012
Total Nacional;Madrid, Comunidad de;;4 personas o más;2026;690.002
Total Nacional;Madrid, Comunidad de;;4 personas o más;2025;684.024
Total Nacional;Madrid, Comunidad de;;4 personas o más;2024;677.933
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2039;2,46
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2038;2,47
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2037;2,48
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2036;2,49
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2035;2,5
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2034;2,51
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2033;2,52
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2032;2,53
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2031;2,54
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2030;2,55
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2029;2,56
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2028;2,57
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2027;2,57
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2026;2,58
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2025;2,59
Total Nacional;Madrid, Comunidad de;;Tamaño medio;2024;2,6
Total Nacional;Madrid, Comunidad de;Madrid;Total;2039;3.251.492
Total Nacional;Madrid, Comunidad de;Madrid;Total;2038;3.226.560
Total Nacional;Madrid, Comunidad de;Madrid;Total;2037;3.200.602
Total Nacional;Madrid, Comunidad de;Madrid;Total;2036;3.173.614
Total Nacional;Madrid, Comunidad de;Madrid;Total;2035;3.145.785
Total Nacional;Madrid, Comunidad de;Madrid;Total;2034;3.117.003
Total Nacional;Madrid, Comunidad de;Madrid;Total;2033;3.087.088
Total Nacional;Madrid, Comunidad de;Madrid;Total;2032;3.054.945
Total Nacional;Madrid, Comunidad de;Madrid;Total;2031;3.020.367
Total Nacional;Madrid, Comunidad de;Madrid;Total;2030;2.982.795
Total Nacional;Madrid, Comunidad de;Madrid;Total;2029;2.941.005
