Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;Andalucía;Málaga;4 personas o más;2039;166.694
Total Nacional;Andalucía;Málaga;4 personas o más;2038;167.596
Total Nacional;Andalucía;Málaga;4 personas o más;2037;168.566
Total Nacional;Andalucía;Málaga;4 personas o más;2036;169.566
Total Nacional;Andalucía;Málaga;4 personas o más;2035;170.548
Total Nacional;Andalucía;Málaga;4 personas o más;2034;171.479
Total Nacional;Andalucía;Málaga;4 personas o más;2033;172.299
Total Nacional;Andalucía;Málaga;4 personas o más;2032;173.027
Total Nacional;Andalucía;Málaga;4 personas o más;2031;173.536
Total Nacional;Andalucía;Málaga;4 personas o más;2030;173.761
Total Nacional;Andalucía;Málaga;4 personas o más;2029;173.660
Total Nacional;Andalucía;Málaga;4 personas o más;2028;173.196
Total Nacional;Andalucía;Málaga;4 personas o más;2027;172.298
Total Nacional;Andalucía;Málaga;4 personas o más;2026;170.913
Total Nacional;Andalucía;Málaga;4 personas o más;2025;169.162
Total Nacional;Andalucía;Málaga;4 personas o más;2024;167.249
Total Nacional;Andalucía;Málaga;Tamaño medio;2039;2,34
Total Nacional;Andalucía;Málaga;Tamaño medio;2038;2,35
Total Nacional;Andalucía;Málaga;Tamaño medio;2037;2,36
Total Nacional;Andalucía;Málaga;Tamaño medio;2036;2,37
Total Nacional;Andalucía;Málaga;Tamaño medio;2035;2,39
Total Nacional;Andalucía;Málaga;Tamaño medio;2034;2,4
Total Nacional;Andalucía;Málaga;Tamaño medio;2033;2,41
Total Nacional;Andalucía;Málaga;Tamaño medio;2032;2,42
Total Nacional;Andalucía;Málaga;Tamaño medio;2031;2,43
Total Nacional;Andalucía;Málaga;Tamaño medio;2030;2,45
Total Nacional;Andalucía;Málaga;Tamaño medio;2029;2,46
Total Nacional;Andalucía;Málaga;Tamaño medio;2028;2,47
Total Nacional;Andalucía;Málaga;Tamaño medio;2027;2,48
Total Nacional;Andalucía;Málaga;Tamaño medio;2026;2,5
Total Nacional;Andalucía;Málaga;Tamaño medio;2025;2,51
Total Nacional;Andalucía;Málaga;Tamaño medio;2024;2,52
Total Nacional;Andalucía;Jaén;Total;2039;265.031
Total Nacional;Andalucía;Jaén;Total;2038;264.690
Total Nacional;Andalucía;Jaén;Total;2037;264.318
Total Nacional;Andalucía;Jaén;Total;2036;263.834
Total Nacional;Andalucía;Jaén;Total;2035;263.323
Total Nacional;Andalucía;Jaén;Total;2034;262.783
Total Nacional;Andalucía;Jaén;Total;2033;262.133
Total Nacional;Andalucía;Jaén;Total;2032;261.346
Total Nacional;Andalucía;Jaén;Total;2031;260.560
Total Nacional;Andalucía;Jaén;Total;2030;259.648
Total Nacional;Andalucía;Jaén;Total;2029;258.498
Total Nacional;Andalucía;Jaén;Total;2028;257.094
Total Nacional;Andalucía;Jaén;Total;2027;255.631
Total Nacional;Andalucía;Jaén;Total;2026;254.179
Total Nacional;Andalucía;Jaén;Total;2025;252.484
Total Nacional;Andalucía;Jaén;Total;2024;250.644
Total Nacional;Andalucía;Jaén;1 persona;2039;94.569
Total Nacional;Andalucía;Jaén;1 persona;2038;93.228
Total Nacional;Andalucía;Jaén;1 persona;2037;91.904
Total Nacional;Andalucía;Jaén;1 persona;2036;90.517
Total Nacional;Andalucía;Jaén;1 persona;2035;89.152
Total Nacional;Andalucía;Jaén;1 persona;2034;87.784
Total Nacional;Andalucía;Jaén;1 persona;2033;86.316
Total Nacional;Andalucía;Jaén;1 persona;2032;84.765
Total Nacional;Andalucía;Jaén;1 persona;2031;83.312
Total Nacional;Andalucía;Jaén;1 persona;2030;81.807
Total Nacional;Andalucía;Jaén;1 persona;2029;80.088
Total Nacional;Andalucía;Jaén;1 persona;2028;78.173
Total Nacional;Andalucía;Jaén;1 persona;2027;76.335
Total Nacional;Andalucía;Jaén;1 persona;2026;74.595
Total Nacional;Andalucía;Jaén;1 persona;2025;72.644
Total Nacional;Andalucía;Jaén;1 persona;2024;70.607
Total Nacional;Andalucía;Jaén;2 personas;2039;87.822
Total Nacional;Andalucía;Jaén;2 personas;2038;87.339
Total Nacional;Andalucía;Jaén;2 personas;2037;86.777
Total Nacional;Andalucía;Jaén;2 personas;2036;86.101
Total Nacional;Andalucía;Jaén;2 personas;2035;85.348
Total Nacional;Andalucía;Jaén;2 personas;2034;84.553
Total Nacional;Andalucía;Jaén;2 personas;2033;83.720
Total Nacional;Andalucía;Jaén;2 personas;2032;82.783
Total Nacional;Andalucía;Jaén;2 personas;2031;81.766
Total Nacional;Andalucía;Jaén;2 personas;2030;80.663
Total Nacional;Andalucía;Jaén;2 personas;2029;79.499
Total Nacional;Andalucía;Jaén;2 personas;2028;78.242
Total Nacional;Andalucía;Jaén;2 personas;2027;76.876
Total Nacional;Andalucía;Jaén;2 personas;2026;75.514
Total Nacional;Andalucía;Jaén;2 personas;2025;74.055
Total Nacional;Andalucía;Jaén;2 personas;2024;72.486
Total Nacional;Andalucía;Jaén;3 personas;2039;42.969
Total Nacional;Andalucía;Jaén;3 personas;2038;43.482
Total Nacional;Andalucía;Jaén;3 personas;2037;43.989
