País de nacimiento;Nacionalidad;Periodo;Total
UE28 sin España;Española;2015S2;1.711
UE28 sin España;Española;2015S1;1.354
UE28 sin España;Española;2014S2;1.435
UE28 sin España;Española;2014S1;1.045
UE28 sin España;Española;2013S2;1.208
UE28 sin España;Española;2013S1;946
UE28 sin España;Española;2012S2;1.105
UE28 sin España;Española;2012S1;907
UE28 sin España;Española;2011S2;1.247
UE28 sin España;Española;2011S1;924
UE28 sin España;Española;2010S2;1.197
UE28 sin España;Española;2010S1;948
UE28 sin España;Española;2009S2;1.118
UE28 sin España;Española;2009S1;892
UE28 sin España;Española;2008S2;1.360
UE28 sin España;Española;2008S1;1.103
UE28 sin España;Extranjero;2022S1;""
UE28 sin España;Extranjero;2021S2;""
UE28 sin España;Extranjero;2021S1;""
UE28 sin España;Extranjero;2020S2;""
UE28 sin España;Extranjero;2020S1;""
UE28 sin España;Extranjero;2019S2;62.967
UE28 sin España;Extranjero;2019S1;60.296
UE28 sin España;Extranjero;2018S2;64.467
UE28 sin España;Extranjero;2018S1;56.253
UE28 sin España;Extranjero;2017S2;62.739
UE28 sin España;Extranjero;2017S1;56.062
UE28 sin España;Extranjero;2016S2;53.126
UE28 sin España;Extranjero;2016S1;48.756
UE28 sin España;Extranjero;2015S2;50.005
UE28 sin España;Extranjero;2015S1;44.723
UE28 sin España;Extranjero;2014S2;49.118
UE28 sin España;Extranjero;2014S1;41.931
UE28 sin España;Extranjero;2013S2;45.215
UE28 sin España;Extranjero;2013S1;37.669
UE28 sin España;Extranjero;2012S2;46.103
UE28 sin España;Extranjero;2012S1;46.372
UE28 sin España;Extranjero;2011S2;61.491
UE28 sin España;Extranjero;2011S1;58.805
UE28 sin España;Extranjero;2010S2;64.823
UE28 sin España;Extranjero;2010S1;54.547
UE28 sin España;Extranjero;2009S2;59.671
UE28 sin España;Extranjero;2009S1;55.715
UE28 sin España;Extranjero;2008S2;70.507
UE28 sin España;Extranjero;2008S1;86.077
Bélgica;Total;2022S1;2.222
Bélgica;Total;2021S2;2.470
Bélgica;Total;2021S1;2.192
Bélgica;Total;2020S2;1.905
Bélgica;Total;2020S1;1.312
Bélgica;Total;2019S2;2.120
Bélgica;Total;2019S1;1.882
Bélgica;Total;2018S2;2.057
Bélgica;Total;2018S1;1.847
Bélgica;Total;2017S2;2.059
Bélgica;Total;2017S1;1.797
Bélgica;Total;2016S2;1.680
Bélgica;Total;2016S1;1.346
Bélgica;Total;2015S2;1.593
Bélgica;Total;2015S1;1.204
Bélgica;Total;2014S2;1.225
Bélgica;Total;2014S1;1.071
Bélgica;Total;2013S2;1.353
Bélgica;Total;2013S1;1.032
Bélgica;Total;2012S2;1.232
Bélgica;Total;2012S1;1.033
Bélgica;Total;2011S2;1.102
Bélgica;Total;2011S1;931
Bélgica;Total;2010S2;962
Bélgica;Total;2010S1;921
Bélgica;Total;2009S2;944
Bélgica;Total;2009S1;824
Bélgica;Total;2008S2;1.020
Bélgica;Total;2008S1;926
Bélgica;Española;2022S1;121
Bélgica;Española;2021S2;153
Bélgica;Española;2021S1;95
Bélgica;Española;2020S2;112
Bélgica;Española;2020S1;84
Bélgica;Española;2019S2;146
Bélgica;Española;2019S1;117
Bélgica;Española;2018S2;190
Bélgica;Española;2018S1;146
Bélgica;Española;2017S2;140
Bélgica;Española;2017S1;138
Bélgica;Española;2016S2;165
Bélgica;Española;2016S1;85
Bélgica;Española;2015S2;138
Bélgica;Española;2015S1;90
Bélgica;Española;2014S2;105
Bélgica;Española;2014S1;61
Bélgica;Española;2013S2;114
Bélgica;Española;2013S1;66
Bélgica;Española;2012S2;84
Bélgica;Española;2012S1;68
Bélgica;Española;2011S2;90
Bélgica;Española;2011S1;66
Bélgica;Española;2010S2;105
Bélgica;Española;2010S1;43
Bélgica;Española;2009S2;95
Bélgica;Española;2009S1;56
Bélgica;Española;2008S2;92
Bélgica;Española;2008S1;74
Bélgica;Extranjero;2022S1;2.101
Bélgica;Extranjero;2021S2;2.317
Bélgica;Extranjero;2021S1;2.097
Bélgica;Extranjero;2020S2;1.793
Bélgica;Extranjero;2020S1;1.228
Bélgica;Extranjero;2019S2;1.974
Bélgica;Extranjero;2019S1;1.765
Bélgica;Extranjero;2018S2;1.867
Bélgica;Extranjero;2018S1;1.701
Bélgica;Extranjero;2017S2;1.919
Bélgica;Extranjero;2017S1;1.659
Bélgica;Extranjero;2016S2;1.514
Bélgica;Extranjero;2016S1;1.261
Bélgica;Extranjero;2015S2;1.454
Bélgica;Extranjero;2015S1;1.114
Bélgica;Extranjero;2014S2;1.120
Bélgica;Extranjero;2014S1;1.010
Bélgica;Extranjero;2013S2;1.239
Bélgica;Extranjero;2013S1;966
Bélgica;Extranjero;2012S2;1.149
Bélgica;Extranjero;2012S1;965
Bélgica;Extranjero;2011S2;1.011
Bélgica;Extranjero;2011S1;866
Bélgica;Extranjero;2010S2;858
Bélgica;Extranjero;2010S1;878
Bélgica;Extranjero;2009S2;848
Bélgica;Extranjero;2009S1;768
Bélgica;Extranjero;2008S2;928
Bélgica;Extranjero;2008S1;851
Bulgaria;Total;2022S1;1.595
Bulgaria;Total;2021S2;1.656
Bulgaria;Total;2021S1;1.390
Bulgaria;Total;2020S2;1.783
Bulgaria;Total;2020S1;1.531
Bulgaria;Total;2019S2;2.708
Bulgaria;Total;2019S1;2.815
Bulgaria;Total;2018S2;2.718
Bulgaria;Total;2018S1;2.611
Bulgaria;Total;2017S2;3.033
Bulgaria;Total;2017S1;2.907
Bulgaria;Total;2016S2;2.545
Bulgaria;Total;2016S1;2.470
Bulgaria;Total;2015S2;2.505
Bulgaria;Total;2015S1;2.323
Bulgaria;Total;2014S2;2.544
Bulgaria;Total;2014S1;2.092
Bulgaria;Total;2013S2;2.646
Bulgaria;Total;2013S1;2.210
Bulgaria;Total;2012S2;2.885
Bulgaria;Total;2012S1;3.243
Bulgaria;Total;2011S2;5.451
Bulgaria;Total;2011S1;4.351
Bulgaria;Total;2010S2;4.765
Bulgaria;Total;2010S1;3.577
Bulgaria;Total;2009S2;4.361
Bulgaria;Total;2009S1;3.310
Bulgaria;Total;2008S2;4.657
Bulgaria;Total;2008S1;6.104
Bulgaria;Española;2022S1;13
Bulgaria;Española;2021S2;4
Bulgaria;Española;2021S1;12
Bulgaria;Española;2020S2;12
Bulgaria;Española;2020S1;7
Bulgaria;Española;2019S2;16
Bulgaria;Española;2019S1;16
Bulgaria;Española;2018S2;21
Bulgaria;Española;2018S1;26
Bulgaria;Española;2017S2;28
Bulgaria;Española;2017S1;29
Bulgaria;Española;2016S2;21
Bulgaria;Española;2016S1;18
Bulgaria;Española;2015S2;25
Bulgaria;Española;2015S1;30
Bulgaria;Española;2014S2;26
Bulgaria;Española;2014S1;24
Bulgaria;Española;2013S2;36
Bulgaria;Española;2013S1;24
Bulgaria;Española;2012S2;24
Bulgaria;Española;2012S1;21
Bulgaria;Española;2011S2;22
Bulgaria;Española;2011S1;9
Bulgaria;Española;2010S2;14
Bulgaria;Española;2010S1;13
Bulgaria;Española;2009S2;26
Bulgaria;Española;2009S1;20
Bulgaria;Española;2008S2;26
Bulgaria;Española;2008S1;14
